source,target
Customer Reviews,Kundenbewertungen
Customer Showcase,Kundenbeispiele
Customer Stories,Kundenprojekte
Customer Success Stories,Kundenberichte
customer with a maintenance plan,Kunde mit Wartungsvertrag
cut plane,Schnittebene
CVC,Kartenprüfnummer
daemon,Daemon
DAM,DAM
data acquisition,Erfassung von Daten
data fitting,Datenanpassungen
data portability,Datenportabilität
data protection,Datenschutz
data silo,isoliert verwaltete Datenbestände
DCS,PLS
Dear Customer,"Sehr geehrte Kundin, sehr geehrter Kunde"
decision support tool,Werkzeug zur Entscheidungsunterstützung
defense,Verteidigung
defun,defun
demand generation,Nachfragegenerierung
demo video,Demo-Video
demo vignette,Demo-Vignette
Design Academy,Design Academy
design automation strategy,Strategie zur Konsruktionsautomatisierung
Design Basics Curriculum,Curriculum zur Einführung in die Konstruktion
design charrette,Charrette-Veranstaltung
design for assembly,montagegerechtes Konstruieren
design innovation,innovative Konstruktion und Planung
design intent,Konstruktionsabsicht
Design Process Review,Konstruktionsprozessprüfung
design validation,Konstruktionsvalidierung
design visualization,Konstruktionsvisualisierung
Designers Accord,Designers Accord
detention area,Rückhaltebereich
development partner,Entwicklungspartner
diffusion coefficient,Diffusionskoeffizient
Digital Asset Management,Digital-Asset-Management
digital entertainment creation,Digital Entertainment Creation
digital modeling,digitale Modellierung
Digital Prototyping Days,Digital Prototyping Days
digital visual interface,DVI (Digital Visual Interface)
Dimension Style Manager,Bemaßungsstil-Manager
direct partner,Direktpartner
Direct Value Added Reseller,Direct Value Added Reseller
director of strategic research,Director of Strategic Research
disciplinary action,disziplinarische Maßnahmen
discussion forum,Diskussionsforum
discussion group,Diskussionsgruppe
displacement mapping,Verschiebungs-Map
display card,Grafikkarte
distributed control system,dezentrales Prozessleitsystem
distributed license server,verteilter Lizenzserver
documentation,Dokumentation
download method,Download-Verfahren
Download Now method,Methode „Jetzt herunterladen“
DPR,Konstruktionsprozessprüfung
draft mode,Entwurfsmodus
Drainage Design for Infraworks 360,Drainage Design for Infraworks 360
Drawing Recovery Manager,Zeichnungswiederherstellungs-Manager
Dropbox,Dropbox
duct,Luftkanal
DVAR,DVAR
DVI,DVI
DWG Extreme,DWG Extreme
DWGX,DWGX
Dynamic Switchable Graphics,Dynamic Switchable Graphics
Eagle,Eagle
earlier version,frühere Version
eBook,E-Book
e-book,E-Book
eco design,umweltfreundliche Konstruktion
EDT,EDT
Education Community,Education Community
Education customer,Kunde im Bildungsbereich
Education reseller,Fachhändler für Schulen und Hochschulen
Education Version,Version für Schulen und Hochschulen
educational institution,Bildungseinrichtung
educational plot stamp,Plotmarkierung für Lehrzwecke
educational version,Version für Schulen und Hochschulen
educator,Lehrkraft
eLearning,E-Learning
e-Learning,E-Learning
eLearning Catalog,E-Learning-Katalog
e-Learning Catalog,E-Learning-Katalog
Electrical Catalog Browser,Electrical-Katalog-Browser
electronic download,elektronischer Download
electronic software distribution,elektronische Softwareverteilung
element property,Elementeigenschaft
eligibility matrix,Berechtigungstabelle
eligibility requirement,Zulassungsvoraussetzungen
eligible,zugelassen
eligible product,zugelassene Produkte
Eligible Product List,Liste der zugelassenen Produkte
eligible products,zugelassene Produkte
embargo,Embargo
EMC Tier 5 system,EMC-Tier-5-System
EMS,Umweltmanagementsystem
encryption,Verschlüsselung
Energy Analysis,Energieanalyse
energy efficiency,Energieeffizienz
energy generation,Energiegewinnung
energy load,Energielast
energy retrofit,energietechnische Nachrüstung
energy savings performance contract,Energy Savings Performance Contract (ESPC)
energy service company,Energy Service Company
Energy Star,Energy Star
energy use index,Energieverbrauchsindex
energy use intensity,Energieverbrauchskennwert
eNewsletter,E-Newsletter
engineer,Ingenieur
engineering data,Konstruktionsdaten
Engineering Exploration Workshop,Engineering Exploration Workshop
Engineer-to-Order,Engineer-to-Order
Engineer-to-Order Adoption and Change Management Services,Engineer-to-Order Adoption and Change Management Services
Engineer-to-Order Implementation and Integration Services,Engineer-to-Order Implementation and Integration Services
Engineer-to-Order Strategy Services,Engineer-to-Order Strategy Services
Enhanced KB,Enhanced Knowledge Base
Enterprise Business Agreement,Enterprise Business Agreement
Enterprise Flex,Enterprise Flex
Enterprise Priority Support,Enterprise Priority Support
entitlement,Berechtigung
entitlement certificate,Berechtigungszertifikat
environment variable,Umgebungsvariable
Environmental Design and Technology Curriculum,Environmental Design and Technology Curriculum
environmental impact statement,Bericht zur Umweltverträglichkeit
environmental management system,Umweltmanagementsystem
error code,Fehlercode
ESCO,ESCO
ESD,ESD
ESPC,ESPC
Ethernet adapter,Ethernet-Adapter
ethical behavior,ethisch einwandfreies Verhalten
ETO,ETO
EUI,EVK
European Free Trade Association,Europäische Freihandelsassoziation
Event Publisher,Event Publisher
event toolkit,Event Toolkit
Events Lookup,Veranstaltungssuche
executable file,ausführbare Datei
Executive Vice President of Sales and Services,Executive Vice President für Sales and Services
Expand the Base,Expand the base
explicit control,explizite Steuerung
Explore Features,Funktionen im Detail
Express Service,Express-Service
Express Service ID,Express-Service-ID
Express Tools,Express Tools
extended period,längerer Zeitraum
Extended Support Hours,Verlängerte Supportzeiten
Extra Territory Rights,Rechte zur Nutzung im Ausland
Facebook,Facebook
facilities management,Facility Management
factory layout,Fabrikplan
faculty member,Lehrkraft
FAQ,Häufig gestellte Fragen
FAQs,Häufig gestellte Fragen
fatal error,schwerwiegender Fehler
FBIK,FBIK
FCS,FCS
feature code,Funktionscode
Feature Comparison,Funktionsvergleich
feature demonstration,Vorführung der Produktfunktionen
Feature Demos,Funktionsvorführungen
feature line,Elementkante
feature set,Funktionen
FeatureCAM,FeatureCAM
