source,target
벽돌 솔저 수평층,brick soldier course
변형,variant
병렬 구성,side-by-side configuration
보고서,report
보급,advertise
보도 자료,Newsroom
보상,payback
보안 검증 마크업 언어,security assertion markup language
보안 셸,secure shell
보안 요건,security non-negotiables
보안 컨트롤,security control
보이콧 금지,anti-boycott
보조 그래픽 카드,secondary graphics card
보호자 동의,guardian consent
복구,repair
복수 사용자,multi-user
복수 사용자 라이선싱,multi-user licensing
복수 사용자 라이센스,multi-user license
복수 사용자 액세스,multi-user access
부가 가치 총판,Value Added Distributor
부동 창,floating window
부동산,real estate
부사장,vice president
부트 섹터,boot sector
분산 라이센스 서버,distributed license server
분산 제어 시스템,distributed control system
분야 간 점검,inter-disciplinary check
분야 간 조정,multidiscipline coordination
분할 버튼,split button
불만 사항,complaint
불법 복제,counterfeit
불법 복제 방지,Piracy Prevention
불법적인 괴롭힘,unlawful harassment
브라우저 다운로드 방법,Browser Download method
브라운필드,brownfield
브랜드 정적 및 플래시 배너,brandable static and flash banner
브로드캐스트,broadcast
블로그,blog
비계약 리셀러,non-contracted reseller
비공개 계약,non-disclosure agreement
비교,Compare
비대화식 설치,silent installation
비디오 드라이버,video driver
비디오 어댑터,video adapter
비디오 카드,video card
비용 절감을 위해 지금 결정하세요,Act now to save
비전을 제작하십시오,Create with Vision
비즈니스 관계,business relationship
비즈니스 기록,business record
비즈니스 동향,Business Trends
비즈니스 목적,business purpose
비즈니스 상태 대시보드,health of business dashboard
비즈니스 성공을 위한 장벽 해소,Removing the barriers to better business
비즈니스 프로세스,business process
비즈니스 프로세스 모델 및 표기법,business process model and notation
비트맵 호출기,Bitmap Pager
빌딩 산업 계획 및 관계,Building Industry Strategy & Relations
빠른 보기,quick view
빠른 설치제거 도구,Quick Uninstall Tool
빠른 액세스 도구 모음,Quick Access Toolbar
사물 인터넷,Internet of things
사법 기관,law enforcement
사업 계획,business plan
사업 진행,Business Development
사용,consumption
사용 가능한 언어,Available languages
사용 후기,testimonial
사용량,usage rate
사용량 보고서,usage report
사용량 측정,Metering Usage
사용자,user
사용자 관리 FAQ,User Management FAQ
사용자 커뮤니티,User Communities
사용자 페르소나,user persona
사용한 만큼 지불,pay as you go
사이드바,sidebar
사이트 맵,site map
사장 겸 CEO,president and CEO
사진 모음,photo collection
삭제,delete
산업 기계,industrial machinery
산업 디자이너,industrial designer
산업 디자인,industrial design
산업 분야,Industries
산업 설계 및 시각화 전문가,Industrial Design and Visualization Specialization
산업군 솔루션,vertical solution
산업군 응용프로그램,vertical application
산업군 제품,vertical product
상세 수준,level of detail
상시 분석,ad hoc analysis
상용 라이센스,commercial license
상용 클라우드 환경,commercial cloud environment
상태 대시보드,Health Dashboard
